PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C101	1114306326	2.2018	3.2019	3.2019	353	353	24	22500	BT10	SP27
67	C101	1114306327	2.2018	3.2019	3.2019	353	353	39	22500	BT10	SP27
67	C152	1114379833	3.2018	3.2019	4.2019	353	366	18	1500	BT65	SP382
67	C163	1114385543	3.2018	3.2019	3.2019	353	353	16	15000	BT10	SP27
67	C107	1114603966	4.2018	5.2019	5.2019	353	353	(blank)	4000	BT112	SP223
67	C16	1114738195	5.2018	6.2019	6.2019	353	353	98	5000	BT170	SP23
67	C16	1114738195	5.2018	6.2019	6.2019	353	366	20	10000	BT170	SP23
67	C16	1114738195	5.2018	6.2019	6.2019	353	366	20	5000	BT170	SP23
67	C18	1114903326	6.2018	7.2019	7.2019	353	353	26	22500	BT96	SP512
67	C163	1114950461	7.2018	7.2019	7.2019	353	353	39	10000	BT10	SP27
67	C163	1114950463	7.2018	7.2019	7.2019	353	353	39	10000	BT10	SP27
67	C163	1114950463	7.2018	7.2019	7.2019	353	353	39	10000	BT10	SP27
67	C27	1114958804	7.2018	7.2019	7.2019	353	353	18	5000	BT30	SP372
67	C8	1115272359	10.2018	10.2019	10.2019	353	353	39	3500	BT148	SP173
67	C94	1115298139	10.2018	11.2019	11.2019	353	353	39	35000	BT164	SP9
67	C94	1115298140	10.2018	11.2019	11.2019	353	353	39	16000	BT164	SP9
67	C94	1115298140	10.2018	11.2019	11.2019	353	353	39	10000	BT164	SP9
67	C94	1115298140	10.2018	11.2019	11.2019	353	353	39	3000	BT164	SP9
67	C94	1115298140	10.2018	11.2019	11.2019	353	353	39	6000	BT164	SP9
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C4	1115367538	11.2018	11.2019	11.2019	353	353	52	2500	BT91	SP423
67	C70	1115511943	1.2019	2.2020	2.2020	353	353	52	3000	BT41	SP150
67	C8	1112446557	2.2017	3.2018	3.2018	353	354	18	665	BT49	SP249
67	C8	1112446557	2.2017	3.2018	3.2018	353	354	18	1900	BT49	SP249
67	C18	1112659584	4.2017	4.2018	4.2018	353	353	12	2500	BT54	SP169
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	20	7500	BT93	SP404
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	20	7500	BT93	SP404
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	15	2500	BT93	SP404
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	15	10000	BT93	SP404
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	15	2500	BT93	SP404
67	C27	1113098706	7.2017	7.2018	7.2018	353	353	16	15000	BT93	SP404
67	C158	1113121721	7.2017	7.2018	7.2018	353	353	4	2000	BT5	SP13
67	C158	1113121721	7.2017	7.2018	7.2018	353	353	4	4000	BT5	SP13
67	C158	1113121724	7.2017	7.2018	7.2018	353	353	4	1000	BT5	SP13
67	C8	1113654985	9.2017	9.2018	9.2018	353	354	15	7500	BT41	SP150
67	C157	1113923981	12.2017	12.2018	12.2018	353	353	26	1000	BT7	SP15
67	C8	1113954784	12.2017	1.2019	1.2019	353	358	98	275	BT62	SP494
67	C8	1113957822	12.2017	1.2019	1.2019	352	357	18	7500	BT38	SP488
67	C27	1113991132	12.2017	1.2019	1.2019	352	352	16	50000	BT142	SP507
67	C27	1113991132	12.2017	1.2019	1.2019	352	352	16	50000	BT142	SP507
67	C27	1113991132	12.2017	1.2019	1.2019	352	352	16	50000	BT142	SP507
67	C158	1114047793	1.2018	1.2019	1.2019	352	352	39	100000	BT40	SP361
67	C158	1114047793	1.2018	1.2019	1.2019	352	352	39	100000	BT40	SP361
67	C158	1114047793	1.2018	1.2019	1.2019	352	352	39	100000	BT40	SP361
67	C117	1114191773	2.2018	2.2019	2.2019	352	352	26	5000	BT91	SP524
67	C94	1114735236	5.2018	6.2019	6.2019	352	352	39	90000	BT164	SP9
67	C8	1114879688	6.2018	7.2019	7.2019	352	352	39	27500	BT30	SP213
67	C164	1114991231	7.2018	7.2019	7.2019	352	352	22	17500	BT167	SP20
67	C164	1114991231	7.2018	7.2019	7.2019	352	352	22	17500	BT167	SP20
67	C164	1114991231	7.2018	7.2019	7.2019	352	352	22	5000	BT167	SP20
67	C102	1115036757	7.2018	7.2019	7.2019	352	352	99	10000	BT152	SP479
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	3000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	27000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	3000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	18000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	12000	BT141	SP221
67	C8	1115232331	9.2018	10.2019	10.2019	352	352	8	7500	BT57	SP259
67	C158	1115280995	10.2018	10.2019	10.2019	352	352	52	12000	BT40	SP465
67	C158	1115280995	10.2018	10.2019	10.2019	352	352	52	3000	BT40	SP465
67	C158	1115280995	10.2018	10.2019	10.2019	352	352	52	6000	BT40	SP465
67	C113	1115536136	2.2019	2.2020	2.2020	352	352	24	55000	BT11	SP29
67	C35	1113655057	9.2017	9.2018	9.2018	352	352	16	2000	BT219	SP441
67	C8	1113964967	12.2017	1.2019	1.2019	352	357	26	2000	BT191	SP556
