url;date;time;duration;duration (min.);entity;peak live viewers;minutes viewed;unique viewers;video views;10-sec. views;avg. % watch time;followers;people reached;reactions;comments;shares;engagements;description
https://www.facebook.com/Novasports.gr/videos/2154346904579747/;Sunday, 17 June 2018;16:55;36:02;37;Novasports.gr;116;8.308;5.800;5.975;3.150;00:24;94;25.739;100;180;4;284;Live Now Mundial - Fan Zone, Κόστα Ρίκα-Σερβία, Κυριακή 17/6
https://www.facebook.com/Novasports.gr/videos/2153280004686437/;Saturday, 16 June 2018;23:55;32:14;33;Novasports.gr;64;5.001;3.854;3.913;1.908;00:19;94;20.661;56;59;2;117;Live Now Mundial - Fan Zone, Κροατία-Νιγηρία, Σάββατο 16/6
https://www.facebook.com/Novasports.gr/videos/2153049394709498/;Saturday, 16 June 2018;20:55;39:03;40;Novasports.gr;83;6.352;4.546;4.546;2.428;00:23;94;23.739;71;80;2;153;Live Now Mundial - Fan Zone, Περού-Δανία, Σάββατο 16/6
https://www.facebook.com/Novasports.gr/videos/2152812141399890/;Saturday, 16 June 2018;17:55;35:24;36;Novasports.gr;103;7.590;6.132;6.150;3.123;00:21;92;29.380;76;132;3;211;Live Now Mundial - Fan Zone, Αργεντινή-Ισλανδία, Σάββατο 16/6
https://www.facebook.com/Novasports.gr/videos/2152664391414665/;Saturday, 16 June 2018;14:45;51:21;52;Novasports.gr;114;8.342;5.464;5.559;2.948;00:26;91;24.522;77;130;4;211;Live Now Mundial - Fan Zone, Γαλλία-Αυστραλία, Σάββατο 16/6
https://www.facebook.com/Novasports.gr/videos/2151138901567214/;Friday, 15 June 2018;22:55;36:39;37;Novasports.gr;88;6.943;5.709;5.760;2.915;00:25;94;19.095;66;103;3;172;Live Now Mundial - Fan Zone, Πορτογαλία-Ισπανία, Παρασκευή 15/6
https://www.facebook.com/Novasports.gr/videos/2151126448235126/;Friday, 15 June 2018;20:00;29:40;30;Novasports.gr;78;6.013;4.357;4.709;2.501;00:26;91;15.645;78;45;8;131;Live Now Mundial - Fan Zone, Μαρόκο-Ιράν, Παρασκευή 15/6
https://www.facebook.com/Novasports.gr/videos/2151096304904807/;Friday, 15 June 2018;16:55;41:23;42;Novasports.gr;106;8.130;5.525;5.727;3.096;00:28;93;19.531;90;98;5;193;Live Now Mundial - Fan Zone, Αίγυπτος-Ουρουγουάη, Παρασκευή 15/6
https://www.facebook.com/Novasports.gr/videos/2149567138391057/;Thursday, 14 June 2018;19:55;33:25;34;Novasports.gr;118;7.863;6.643;6.937;3.397;00:23;89;23.682;138;91;4;233;Live Now Mundial - Fan Zone, Ρωσία-Σ. Αραβία, Πέμπτη 14/6
https://www.facebook.com/Novasports.gr/videos/2149558838391887/;Thursday, 14 June 2018;17:30;28:23;29;Novasports.gr;143;8.140;7.410;7.937;3.768;00:21;79;26.769;201;146;10;357;Live Now Mundial - Fan Zone, Πέμπτη 14/6
